"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.701890417E-1,-4.648322240E-2,-5.302553996E-2,-4.661744088E-2,8.453155415E-2
8.802140416E-1,-6.014702097E-2,-2.569204755E-2,-5.990936607E-2,8.869542030E-2
8.902380416E-1,-3.508348018E-2,-1.290887408E-2,-4.733178765E-2,6.031407575E-2
9.002630417E-1,-3.001550585E-2,1.170875132E-2,-3.276504949E-2,4.595186522E-2
9.102880416E-1,-1.413028315E-2,7.971803658E-3,-3.072826378E-2,3.474824816E-2
9.203130417E-1,-2.143104933E-2,-1.531769894E-2,-2.324680239E-2,3.513311255E-2
9.303380416E-1,-3.692665324E-2,-2.406325378E-2,-2.873291448E-2,5.261367005E-2
9.403620416E-1,-3.800961748E-2,4.281219095E-3,-1.839049906E-2,4.244137502E-2
9.503870417E-1,-2.290736511E-2,3.249235079E-2,-1.737237349E-2,4.338547680E-2
9.604120416E-1,-6.168271415E-3,2.331699803E-2,-2.345613763E-2,3.364402416E-2
9.704370417E-1,9.579266421E-3,-8.638537489E-3,-4.044444114E-2,4.245161356E-2
9.804620416E-1,1.667601988E-2,-1.747031324E-2,-5.993000045E-2,6.461351591E-2
9.904860416E-1,1.916580833E-2,-1.812358573E-2,-6.484593451E-2,7.000562686E-2
1.000511042E0,3.029646724E-2,-1.795937866E-2,-5.591619387E-2,6.608355277E-2
1.010536042E0,5.479515344E-2,-1.646481082E-2,-5.286101624E-2,7.789663583E-2
1.020561042E0,8.491963893E-2,-1.063602977E-2,-5.804094300E-2,1.034080329E-1
1.030586042E0,1.020283177E-1,-3.675059183E-3,-5.679644644E-2,1.168294484E-1
1.040610042E0,9.486267716E-2,1.198706962E-2,-4.791712388E-2,1.069517093E-1
1.050635042E0,8.046109974E-2,2.881505340E-2,-3.699763119E-2,9.312959029E-2
1.060660042E0,7.197649777E-2,2.923429944E-2,-4.055508971E-2,8.763547111E-2
1.070685042E0,5.897441134E-2,2.484860644E-2,-5.302880332E-2,8.311130137E-2
1.080709042E0,3.489566594E-2,-4.894463345E-4,-6.167066470E-2,7.086055280E-2
1.090734042E0,-5.581187084E-3,-2.552582324E-2,-5.987409875E-2,6.532706179E-2
1.100759042E0,-4.622901231E-2,-3.496300057E-2,-6.086106598E-2,8.404523984E-2
1.110784042E0,-7.524001598E-2,-2.945540473E-2,-6.752266735E-2,1.052995322E-1
1.120809042E0,-7.925201207E-2,-1.878220960E-2,-7.086614519E-2,1.079613975E-1
1.130833042E0,-5.614056066E-2,-4.088750575E-3,-6.734304875E-2,8.776996438E-2
1.140858042E0,-2.872020565E-2,-7.028493099E-3,-6.231773272E-2,6.897644337E-2
1.150883042E0,-1.347680483E-2,-1.846117713E-2,-5.630831048E-2,6.077059452E-2
1.160908042E0,-4.796436522E-3,-2.743626200E-2,-4.653374851E-2,5.423231533E-2
1.170933042E0,1.100463048E-2,-2.242578939E-2,-3.388905898E-2,4.210090545E-2
1.180957042E0,3.148481250E-2,-2.024815418E-2,-4.162934050E-2,5.598466894E-2
1.190982042E0,4.235211015E-2,-3.185261041E-2,-4.859776795E-2,7.190294204E-2
1.201007042E0,3.436321393E-2,-3.511974216E-2,-5.046415329E-2,7.043335522E-2
1.211032042E0,1.451121643E-2,-3.787744418E-2,-4.580841586E-2,6.118567760E-2
1.221056042E0,-2.598057967E-3,-4.443711787E-2,-4.050830752E-2,6.018579839E-2
1.231081042E0,-8.840241469E-3,-3.298099712E-2,-4.146704450E-2,5.371602945E-2
1.241106042E0,-2.253711224E-3,-3.120413795E-2,-5.028370768E-2,5.922185996E-2
1.251131042E0,5.281968974E-3,-5.005532131E-2,-6.449646503E-2,8.181215306E-2
1.261156042E0,4.830359016E-3,-5.984878913E-2,-6.566174328E-2,8.897569589E-2
1.271180042E0,3.905975726E-3,-5.492939800E-2,-5.413425341E-2,7.722054651E-2
1.281205042E0,6.417602766E-3,-4.178137332E-2,-3.889032081E-2,5.743975831E-2
1.291230042E0,7.278603036E-3,-2.398506366E-2,-2.235821448E-2,3.358796058E-2
1.301255042E0,1.272431575E-2,-6.870918907E-3,-1.857208833E-2,2.353805860E-2
1.311279042E0,1.719975658E-2,-3.928658552E-3,-1.720774919E-2,2.464493085E-2
1.321304042E0,1.512701996E-2,-1.557906857E-3,-2.963896096E-2,3.331248735E-2
1.331329042E0,6.779875606E-3,-2.384856530E-2,-4.624217376E-2,5.246960467E-2
1.341354042E0,-1.070928667E-2,-4.385062680E-2,-5.223741382E-2,6.903849429E-2
1.351379042E0,-2.455453016E-2,-5.160841346E-2,-5.467526615E-2,7.909322360E-2
1.361403042E0,-3.026205301E-2,-3.241019696E-2,-5.439778790E-2,7.018070994E-2
1.371428042E0,-2.438738570E-2,-2.606015652E-2,-5.365370214E-2,6.444064007E-2
1.381453042E0,-1.759950258E-2,-3.638007492E-2,-5.663611740E-2,6.957659187E-2
1.391478042E0,-9.698434733E-3,-3.576754779E-2,-5.636340752E-2,6.745525049E-2
